hex,r,g,b,gs,cluster_size,pantone_hex,pantone_name,group_id,cluster_id,ref_cat,ref_name
#cbc1b6,203,193,182,194.53,889,d0c5b1,fog,11,0,Grey,LightSlateGray
#1f455a,31,69,90,60.0,379,a3b4c4,celestial-blue,10,1,White,White
#857e79,133,126,121,127.39,869,918c7e,laurel-oak,11,2,Grey,DimGray
#292a2b,41,42,43,41.77,1227,3b3a36,peat,0,3,None,None
#87afca,135,175,202,165.98,783,7181a4,english-manor,0,4,None,None
#ecf0f6,236,240,246,239.25,2730,f2f0eb,snow-white,10,5,White,Linen
#3d7eb0,61,126,176,112.2,1027,c9d3dc,illusion-blue,8,6,Blue,RoyalBlue
#f16f02,241,111,2,137.2,194,,,0,7,None,None
#65594e,101,89,78,91.23,709,696156,bungee-cord,0,8,None,None
#999ba4,153,155,164,155.28,1202,aea692,spray-green,11,9,Grey,Gray
#c8cbd1,200,203,209,202.59,1417,ddd5c7,birch,11,10,Grey,DarkGray
#02679a,2,103,154,78.61,1226,5b609e,iris-bloom,0,11,None,None
#060b16,6,11,22,10.75,581,,,10,12,White,Ivory
#4b535d,75,83,93,81.67,797,686d6c,sedona-sage,0,13,None,None
#c4977a,196,151,122,160.95,231,c5ae91,warm-sand,5,14,Brown,RosyBrown
#b3c8d9,179,200,217,195.48,1292,ca9978,toast,8,15,Blue,LightSkyBlue
#ebd5b6,235,213,182,215.81,451,d8c0ad,shifting-sand,5,16,Brown,Wheat
#5a8ec1,90,142,193,132.18,642,77333b,ruby-wine,8,17,Blue,RoyalBlue
#6c6f75,108,111,117,110.68,986,82776b,brindle,11,18,Grey,Black
#00929b,0,146,155,103.37,1544,01858B,Gulfstream,7,19,Cyan,DarkCyan
#4d2924,77,41,36,51.12,490,483f39,turkish-coffee,0,20,None,None
#f6c87a,246,200,122,204.62,199,e6b2b8,coral-blush,0,21,None,None
#4c7797,76,119,151,109.71,519,4c7e86,brittany-blue,0,22,None,None
#9fbdd2,159,189,210,182.26,1231,bdb369,golden-green,8,23,Blue,LightSkyBlue
#bfb3a5,191,179,165,180.8,911,c1bcac,pelican,11,24,Grey,Gray
#ddeef5,221,238,245,233.49,1057,f2f0eb,snow-white,9,25,Purple,Plum
#fe9d01,254,157,1,167.97,442,,,2,26,Orange,Orange
#433c37,67,60,55,61.46,1001,4a4139,wren,0,27,None,None
#97628d,151,98,141,118.6,345,938772,coriander,0,28,None,None
#3d698c,61,105,140,95.77,473,66648b,twilight-purple,0,29,None,None
#74ceee,116,206,238,182.62,590,743332,russet-brown,8,30,Blue,CornflowerBlue
#809893,128,152,147,144.13,678,989a98,limestone,11,31,Grey,SlateGray
#a6b7c7,166,183,199,179.57,952,bbbcbc,gray-violet,8,32,Blue,LightSkyBlue
#857569,133,117,105,120.28,606,8a7963,lead-gray,11,33,Grey,DimGray
#181915,24,25,21,24.22,1074,,,0,34,None,None
#54493f,84,73,63,75.06,958,5b4f3b,beech,0,35,None,None
#00346d,0,52,109,42.95,381,988088,toadstool,0,36,None,None
#ef8d84,239,141,132,169.04,322,dbb0a2,rose-cloud,4,37,Red,LightCoral
#f7f0e5,247,240,229,240.59,1120,f2f0eb,snow-white,10,38,White,MistyRose
#d5dae1,213,218,225,217.09,1247,e7e9e7,blanc-de-blanc,11,39,Grey,Silver
#2f3e51,47,62,81,59.63,792,3a3536,licorice,10,40,White,White
#bc7b27,188,123,39,132.67,78,b31a38,lipstick-red,5,41,Brown,Chocolate
#92683d,146,104,61,111.51,212,4a3f41,shale,0,42,None,None
#f8af62,248,175,98,187.8,121,f88f58,tangerine,5,43,Brown,SandyBrown
#cfbaa4,207,186,164,189.56,1154,d8cfb2,frozen-dew,5,44,Brown,Tan
#97adc3,151,173,195,168.78,691,cac5c2,wind-chime,0,45,None,None
#31487d,49,72,125,71.12,308,66648b,twilight-purple,9,46,Purple,DarkViolet
#b18868,177,136,104,144.43,341,c2a594,rugby-tan,0,47,None,None
#023c4a,2,60,74,44.25,431,e86800,exuberance,0,48,None,None
#92877e,146,135,126,137.12,752,9c8e7b,chinchilla,11,49,Grey,DimGray
#031625,3,22,37,18.03,879,,,0,50,None,None
#8d8cb5,141,140,181,144.83,363,a49e9e,opal-gray,0,51,None,None
#72acb6,114,172,182,155.68,649,a5b2aa,aqua-gray,0,52,None,None
#fba892,251,168,146,190.06,437,f9ac2f,citrus,4,53,Red,LightSalmon
#1c6ea2,28,110,162,91.38,783,478589,teal,0,54,None,None
#568ed0,86,142,208,132.69,382,77333b,ruby-wine,0,55,None,None
#dad7d3,218,215,211,215.22,1698,e1dbc8,white-asparagus,11,56,Grey,DarkGray
#7a5071,122,80,113,96.2,252,80765f,covert-green,0,57,None,None
#fdf6ec,253,246,236,246.7,796,f2f0eb,snow-white,10,58,White,OldLace
#7b5939,123,89,57,95.39,365,4a3f41,shale,0,59,None,None
#71b0e9,113,176,233,163.55,344,335959,jasper,0,60,None,None
#81230a,129,35,10,60.13,56,,,0,61,None,None
