hex,r,g,b,gs,cluster_size,pantone_hex,pantone_name,group_id,cluster_id,ref_cat,ref_name
#464420,70,68,32,64.42,371,54392d,potting-soil,0,0,None,None
#e7cfb2,231,207,178,210.64,925,e9d1bf,pastel-rose-tan,5,1,Brown,Wheat
#7a8fa3,122,143,163,138.88,736,a49e9e,opal-gray,11,2,Grey,SlateGray
#015a8e,1,90,142,69.32,985,5d89b3,lichen-blue,0,3,None,None
#9a7357,154,115,87,123.31,323,a2a2a1,silver,0,4,None,None
#b3c2ca,179,194,202,190.25,1047,c2beb6,moonstruck,11,5,Grey,LightSlateGray
#626167,98,97,103,97.89,822,776a5f,walnut,11,6,Grey,Black
#1e1d19,30,29,25,28.81,888,,,0,7,None,None
#ddeef6,221,238,246,233.61,1034,f2f0eb,snow-white,9,8,Purple,Plum
#dca85f,220,168,95,175.01,238,d99938,golden-glow,5,9,Brown,SandyBrown
#a09aa2,160,154,162,156.55,950,b1b09f,agate-gray,11,10,Grey,Gray
#328a9e,50,138,158,113.92,167,a5bcbb,blue-haze,0,11,None,None
#fdb401,253,180,1,181.17,306,,,2,12,Orange,Orange
#d0bba5,208,187,165,190.56,1222,d8cfb2,frozen-dew,5,13,Brown,Tan
#3f4854,63,72,84,70.61,659,5f5e62,castlerock,10,14,White,White
#71b0e9,113,176,233,163.55,347,335959,jasper,0,15,None,None
#d5dbe1,213,219,225,217.68,1182,e7e9e7,blanc-de-blanc,11,16,Grey,Silver
#817c79,129,124,121,125.02,943,918c7e,laurel-oak,11,17,Grey,DimGray
#3a5473,58,84,115,79.7,780,66648b,twilight-purple,0,18,None,None
#5b91c2,91,145,194,134.35,622,77333b,ruby-wine,8,19,Blue,RoyalBlue
#024556,2,69,86,50.9,389,615c60,volcanic-glass,0,20,None,None
#8ab2cc,138,178,204,168.87,970,7181a4,english-manor,0,21,None,None
#b3d2e0,179,210,224,202.15,1244,717f9b,country-blue,8,22,Blue,LightSteelBlue
#fd8501,253,133,1,153.58,411,,,2,23,Orange,DarkOrange
#cbc7be,203,199,190,198.97,1320,d7d0c0,bone-white,11,24,Grey,LightSlateGray
#020406,2,4,6,3.63,1656,,,10,25,White,Ivory
#59585c,89,88,92,88.67,998,696156,bungee-cord,11,26,Grey,Black
#e18a8c,225,138,140,164.02,147,d5ba98,beige,4,27,Red,LightCoral
#f9eae5,249,234,229,237.67,942,f2f0eb,snow-white,10,28,White,MistyRose
#00949c,0,148,156,104.66,983,01858B,Gulfstream,7,29,Cyan,DarkCyan
#34261f,52,38,31,41.34,701,39373b,phantom,0,30,None,None
#6a503b,106,80,59,85.27,553,5b5149,major-brown,0,31,None,None
#9ec1c2,158,193,194,182.49,604,897f98,dusk,0,32,None,None
#5087aa,80,135,170,122.46,616,384c67,ensign-blue,8,33,Blue,RoyalBlue
#546a88,84,106,136,102.76,538,8e918f,neutral-gray,0,34,None,None
#c2b6a8,194,182,168,183.8,1477,c1bcac,pelican,11,35,Grey,LightSlateGray
#235b79,35,91,121,77.64,639,262c2a,jet-set,0,36,None,None
#e3c396,227,195,150,199.21,392,edd0dd,cradle-pink,5,37,Brown,Burlywood
#a3afba,163,175,186,172.5,1119,b1b09f,agate-gray,11,38,Grey,Gray
#a8667c,168,102,124,124.07,302,b89b72,lark,0,39,None,None
#473f39,71,63,57,64.64,876,4a4139,wren,0,40,None,None
#858891,133,136,145,136.0,691,9a927f,seneca-rock,11,41,Grey,SlateGray
#8165a0,129,101,160,115.97,209,9f9c99,paloma,0,42,None,None
#397698,57,118,152,103.58,689,1f5da0,strong-blue,0,43,None,None
#303b44,48,59,68,56.69,657,4a4139,wren,10,44,White,White
#dad7d4,218,215,212,215.34,1519,e1dbc8,white-asparagus,11,45,Grey,DarkGray
#726a8a,114,106,138,111.93,421,82776b,brindle,11,46,Grey,DarkSlateGray
#aa9787,170,151,135,154.69,590,a59788,tuffet,5,47,Brown,RosyBrown
#1c2b32,28,43,50,39.29,497,2d2c2f,jet-black,0,48,None,None
#046c9f,4,108,159,82.71,549,5b609e,iris-bloom,0,49,None,None
#a74c39,167,76,57,100.88,46,a17249,brown-sugar,5,50,Brown,Sienna
#003d79,0,61,121,49.6,483,988088,toadstool,0,51,None,None
#6d2e15,109,46,21,61.88,179,9e1030,jester-red,0,52,None,None
#01202d,1,32,45,24.21,663,,,0,53,None,None
#84a9b7,132,169,183,159.4,917,6e81be,persian-jewel,0,54,None,None
#69abd2,105,171,210,155.61,486,77333b,ruby-wine,0,55,None,None
#b5804c,181,128,76,137.74,191,be8a4a,spruce-yellow,5,56,Brown,Peru
#a1c9e2,161,201,226,191.73,1760,bdb369,golden-green,8,57,Blue,LightSkyBlue
#f9fbfa,249,251,250,250.04,1734,f2f0eb,snow-white,10,58,White,FloralWhite
#c6dbe4,198,219,228,213.55,1104,dde2d6,frost,8,59,Blue,LightBlue
#966a3e,150,106,62,113.99,197,4a3f41,shale,0,60,None,None
#fba892,251,168,146,190.06,440,f9ac2f,citrus,4,61,Red,LightSalmon
#69615c,105,97,92,98.72,915,776a5f,walnut,11,62,Grey,Black
#070c18,7,12,24,11.87,783,,,10,63,White,Ivory
#e7eae8,231,234,232,232.64,1025,f2f0eb,snow-white,9,64,Purple,Plum
#b0afad,176,175,173,174.9,1299,c1bcac,pelican,11,65,Grey,Gray
#2673a6,38,115,166,97.75,537,478589,teal,0,66,None,None
#7f593b,127,89,59,96.81,358,4a3f41,shale,0,67,None,None
#afc5d7,175,197,215,192.3,1475,ca9978,toast,8,68,Blue,LightSkyBlue
#728394,114,131,148,127.74,691,80817d,moon-mist,11,69,Grey,DarkSlateGray
#94a6b7,148,166,183,162.41,880,a9afaa,pigeon,11,70,Grey,Gray
#e3b678,227,182,120,188.16,316,f5b0bd,candy-pink,5,71,Brown,Burlywood
#2e2d2d,46,45,45,45.25,1073,3b3a36,peat,0,72,None,None
#f9d4bf,249,212,191,220.42,585,edd2c0,linen,1,73,Yellow,PeachPuff
#c1c7cb,193,199,203,197.47,1186,d7d0c0,bone-white,11,74,Grey,LightSlateGray
#574b3d,87,75,61,76.91,698,5b4f3b,beech,0,75,None,None
#dfe0e2,223,224,226,223.71,1679,f0eee9,cloud-dancer,11,76,Grey,Silver
#3c4c44,60,76,68,70.24,1223,4a4139,wren,10,77,White,White
#569aa6,86,154,166,134.95,453,384c67,ensign-blue,7,78,Cyan,CadetBlue
#74ceee,116,206,238,182.62,590,743332,russet-brown,8,79,Blue,CornflowerBlue
